domain,name,expected_entity_id,unique_id,area_id,area_name,floor_id,floor_name,source,notes
light,Büro OG Decke,light.buro_og_decke,3/0/0,buero_og,Büro OG,obergeschoss,Obergeschoss,FHEM room + KNX/ETS group address name,
light,Flur OG Decke,light.flur_og_decke,3/0/6,flur_og,Flur OG,obergeschoss,Obergeschoss,FHEM room + KNX/ETS group address name,
light,Schlafzimmer Decke,light.schlafzimmer_og_decke,3/0/24,schlafzimmer,Schlafzimmer,obergeschoss,Obergeschoss,FHEM room + KNX/ETS group address name,legacy_entity_ids=light.schlafzimmer_decke
light,Bad OG Decke,light.bad_og_decke,3/0/30,bad_og,Bad OG,obergeschoss,Obergeschoss,FHEM room + KNX/ETS group address name,
light,Treppe OG,light.treppe_og,2/0/6,treppe_og,Treppe OG,obergeschoss,Obergeschoss,FHEM room + KNX/ETS group address name,
light,Ankleide Decke,light.ankleide_og_decke,2/0/4,ankleide,Ankleide,obergeschoss,Obergeschoss,FHEM room + KNX/ETS group address name,legacy_entity_ids=light.ankleide_decke
light,Bad OG Waschtisch,light.bad_og_waschtisch,2/0/2,bad_og,Bad OG,obergeschoss,Obergeschoss,FHEM room + KNX/ETS group address name,
light,WC OG Decke,light.wc_og_decke,2/0/0,wc_og,WC OG,obergeschoss,Obergeschoss,FHEM room + KNX/ETS group address name,
light,Gäste-WC Decke,light.gaeste_wc_eg_decke,2/0/12,gaeste_wc,Gäste-WC,erdgeschoss,Erdgeschoss,FHEM room + KNX/ETS group address name,legacy_entity_ids=light.gaste_wc_decke
light,Garderobe Decke,light.garderobe_eg_decke,2/0/28,garderobe,Garderobe,erdgeschoss,Erdgeschoss,FHEM room + KNX/ETS group address name,legacy_entity_ids=light.garderobe_decke
light,Küche Decke,light.kueche_eg_decke,3/0/36,kueche,Küche,erdgeschoss,Erdgeschoss,FHEM room + KNX/ETS group address name,"FHEM-Raum Esszimmer, KNX/ETS nennt EG Küche Decke; daher Küche. legacy_entity_ids=light.kuche_decke"
light,Gästebad Decke,light.gaestebad_eg_decke,2/0/26,gaestebad,Gästebad,erdgeschoss,Erdgeschoss,FHEM room + KNX/ETS group address name,"FHEM-Raum Buero, aber KNX/ETS-Adresse nennt EG Gästebad; daher Gästebad. legacy_entity_ids=light.gastebad_decke"
light,Wohnzimmer Decke Mitte,light.wohnzimmer_eg_decke_mitte,3/0/48,wohnzimmer,Wohnzimmer,erdgeschoss,Erdgeschoss,FHEM room + KNX/ETS group address name,legacy_entity_ids=light.wohnzimmer_decke_mitte
light,Wohnzimmer Decke Seiten,light.wohnzimmer_eg_decke_seiten,3/0/54,wohnzimmer,Wohnzimmer,erdgeschoss,Erdgeschoss,FHEM room + KNX/ETS group address name,legacy_entity_ids=light.wohnzimmer_decke_seiten
light,Treppe EG/KG,light.treppe_eg_kg,2/0/14,treppe_eg_kg,Treppe EG/KG,erdgeschoss,Erdgeschoss,FHEM room + KNX/ETS group address name,
light,Arbeitszimmer Flur,light.arbeitszimmer_eg_flur,2/0/24,arbeitszimmer,Arbeitszimmer,erdgeschoss,Erdgeschoss,FHEM room + KNX/ETS group address name,legacy_entity_ids=light.arbeitszimmer_flur
light,Flur EG Galerie,light.flur_eg_galerie,2/0/18,flur_eg,Flur EG,erdgeschoss,Erdgeschoss,FHEM room + KNX/ETS group address name,
light,Garderobe Schuhschrank,light.garderobe_eg_schuhschrank,2/0/10,garderobe,Garderobe,erdgeschoss,Erdgeschoss,FHEM room + KNX/ETS group address name,legacy_entity_ids=light.garderobe_schuhschrank
light,Vorratsraum Decke,light.vorratsraum_eg_decke,2/0/20,vorratsraum,Vorratsraum,erdgeschoss,Erdgeschoss,FHEM room + KNX/ETS group address name,legacy_entity_ids=light.vorratsraum_decke
light,Flur EG Decke,light.flur_eg_decke,3/0/12,flur_eg,Flur EG,erdgeschoss,Erdgeschoss,FHEM room + KNX/ETS group address name,
light,Decke,light.arbeitszimmer_eg_decke,3/0/60,arbeitszimmer,Arbeitszimmer,erdgeschoss,Erdgeschoss,FHEM room + KNX/ETS group address name,legacy_entity_ids=light.buero_decke;light.arbeitszimmer_decke
